id,prefecture,area_major,area_detail,salon_name,hp_url,instagram_url,salon_type,status,notes
1,神奈川県,横浜市神奈川区,横浜市神奈川区,DOG SALON & PET HOTEL ANELA,https://sanki-anela.com/,,standard,提携済み,6/10撮影予定・BtoB第1号
2,東京都,渋谷区,渋谷区東1丁目,ドッグサロン グルーム,https://groom.jp/,https://www.instagram.com/dog_salon_groom/,small,未送信,個人系・ナイフトリミング・スキンケア・英語対応あり
3,東京都,渋谷区,渋谷区恵比寿,Sunny Dog Villa EBISU,https://www.sunnydogvilla.com,https://www.instagram.com/sdv.ebisu/,small,未送信,個人経営・無添加塩石けんシャンプー・敏感肌の犬向け
4,東京都,渋谷区,渋谷区本町（初台）,ドッグビューティーサロン Plus Bell,https://plusbell.com/,,small,未送信,個人経営・カウンセリング重視・シニア犬対応
5,東京都,渋谷区,渋谷区神宮前3丁目,V.I.D. 表参道,https://dogsalonvid.com/,https://www.instagram.com/dogsalonvid/,premium,未送信,トイプードル専門・テディベアカット人気・Instagram強い
6,東京都,渋谷区,渋谷区恵比寿3丁目,Dog's Palace,https://dogspalace.jp/,,standard,未送信,個人経営・恵比寿ガーデンプレイス近く・大型ペットホテル併設
7,東京都,渋谷区,渋谷区東4丁目（広尾）,BLISS 広尾店,https://bliss-trimming.com/,https://www.instagram.com/bliss.trimming/,chain,未送信,チェーン系・無料送迎・ペットホテル・複数エリア展開
8,東京都,渋谷区,渋谷区上原1丁目（代々木上原）,FunkyD plus 代々木上原店,http://yoyogiuehara.funkyd-plus.com/,,small,未送信,個人系・デザインカット・マイクロバブルバス・大型犬〜猫対応
9,東京都,港区,港区麻布十番2丁目,麻布十番ダンボ本店,https://dumbo-azabu10ban.jp/,https://www.instagram.com/dumbo_azabu/,premium,未送信,高人気・ペットホテル・送迎・複数区対応
10,東京都,港区,港区南麻布1丁目,Doggie-Do 麻布店,https://doggie-do.com/,https://www.instagram.com/doggiedo.style/,premium,未送信,オールシザーカット・コートタイプ別シャンプー・競合注意（動画サービスあり）
11,東京都,港区,港区南青山4丁目,Dog Salon Sealy 南青山,https://www.dogsalonsealy.com/,https://www.instagram.com/dogsalonsealy/,premium,未送信,個人経営・完全予約制・フルシザーカット専門・高級志向
12,東京都,港区,港区南青山（外苑前）,南青山トリミング,http://minamiaoyamatrimming.com/,https://www.instagram.com/minamiaoyama_trimming/,premium,未送信,JKC公認グレードAトリマー在籍・ショーモデル犬対応・高級
