区分,項目,厳しめ想定,標準想定,強気想定,備考
■売上,BtoB月額サブスク（SNS運用）,29800,99600,239400,厳:1社×29800 / 標:2社平均49800 / 強:3社平均79800
■売上,BtoBサロン撮影（単発）,70000,140000,225000,単価35000〜45000。厳:2件×35000 / 標:4件×35000 / 強:5件×45000
■売上,BtoC個人撮影,0,15000,45000,単価15000〜。BtoCアカ経由。厳:0件
■売上,サイト制作・管理（月額）,0,15000,40000,月額15000〜20000。厳:0社
■売上,イベント・マルシェ・その他,0,0,30000,スポット案件
売上,売上合計,99800,269600,579400,
,,,,,
■変動費,交通費（撮影地往復）,4000,8000,12000,1件あたり約2000円
■変動費,撮影消耗品・雑費,2000,4000,6000,SDカード/バッテリー/小物
■変動費,外注費,0,0,30000,繁忙期の編集外注（強気のみ）
変動費,変動費合計,6000,12000,48000,
,,,,,
粗利,売上総利益（粗利）,93800,257600,531400,売上合計−変動費合計
,,,,,
■固定費,編集ソフト（Adobe CC等）,7000,7000,7000,Creative Cloud コンプリート
■固定費,音源サブスク（Epidemic等）,2000,2000,2000,著作権安全な音源
■固定費,AIツール（ChatGPT/Claude/Runway等）,8000,8000,10000,企画・台本・B-roll補助
■固定費,ストレージ・クラウド,1500,1500,3000,素材バックアップ
■固定費,通信費（按分）,3000,3000,3000,
■固定費,サーバー・ドメイン,2000,2000,2000,HP事業・LP用
■固定費,機材減価償却,15000,15000,15000,初期投資を48ヶ月で按分（後述）
■固定費,印刷物（名刺・紹介カード）,1000,1500,2000,
■固定費,広告費,5000,10000,20000,Instagram広告・チラシ等
■固定費,雑費・予備,2000,3000,4000,
固定費,固定費合計,46500,53000,68000,
,,,,,
営業利益,営業利益（人件費前／EBITDA的）,47300,204600,463400,粗利−固定費。※人件費は別途算入
,,,,,
人件費,人件費（オーナー報酬・後で算入）,0,0,0,フェーズ確定後に設定
最終,営業利益（人件費後）,47300,204600,463400,
